Date,Treatment,Replicate,Temp,Length,Tag Color,Tag Number,Time recorded,temperature ,Notes
6/18/23,8,C,,48.65, none,none,,,"tissue, no tags "
6/18/23,7.5,B,,55.25,none,none,,,"tissue, no tags"
6/22/23,8,A,,58.6,yellow,none,,,tissue
6/24/23,8,A,,53,blue,none,,,"tissue, no gonad"
6/24,8,A,,51.55,black,45,,,
6/26/23,7,B,high,52.23,orange,25,,,
6/26/23,7,A,high,43.25,black,18,,,
6/26/23,7.5,F,low,46.33,black,6,10:15,,"decaying tissue, no gonad"
6/26/23,7.5,B,high,49.76,black,,10:57,27.6,
6/26/23,7.5,B,high,53.56,blue,none,12:32,28.5,spawned out gonad
6/26/23,7,C,high,43.99,none,None,4:29:00 PM,28.5,"tissue present, absorbed Gonad,"
6/26/23,7.5,B,high,56.8,black,3,8:45:00 PM,28.7,"tissue present, absorbed Gonad,"
6/27/23,8,A,high,41.42,black,35,6:30,28.7,tissue too disintegrated to assess gonad
6/27/23,7.5,B,high,48.37,black,9,9:19,28.7,tissue present 
6/27/23,7.5,E,low,49.36,black,1,9:52,23.4,tissue present 
6/27/23,7.5,B,high,51.42,blue,none,3:10 PM,28.7,"tissue present, absorbed Gonad, possibly spawned "
6/28/23,8,B,high,49.98,black,34,9:08 AM,29.5,tissue present 
6/29/23,7,B,high,50.27,none,none,9:39 AM,23.4,tissue present 
6/30/23,8,C,high,43.17,black,37,9:43 AM,22.1,"tissue dripping from open shell, unpleasant odor"
6/30/23,7.5,E,low,54.27,none,none,9:50 AM,22.2,"tissue dripping from open shell, unpleasant odor"
6/30/23,7.5,F,low,49.59,black,8,9:59 AM,22.2,Tissue present 
7/2/23,7.5,A,high,46,black ,12,11:00 AM,22.8,
7/2/23,7,A,high,55.4,black,16,11:00 AM,22.8,
7/2/23,7,A,high,46,none,none,11:00 AM,22.8,
7/2/23,8,B,high,52,none,none,11:00 AM,22.8,
7/2/23,8,A,high,45,none,none,11:00 AM,22.8,
7/2/23,8,C,high,41.5,black,38,11:00 AM,22.8,
7/2/23,8,F,low,44,black,44,11:00 AM,22.8,
7/3/23,7.5,E,low,61.36,red,26,1:13 PM,23,"Tissue present, unpleasant odor"
7/3/23,7,G,low,48.74,black,19,1:19,22.8,little tissue left. runny tissue
7/3/23,7,B,high,47.34,black,31,1:23 PM,23,"small amount of tissue, no gonad"
7/3/23,8,G,low,45.34,black,39,1:36 PM,22.8,
