sep=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature comp.,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIRMWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ver.4.039.A3.ST,"04/30/07, 09:14:36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SETTINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barometric pressure [hPa]:,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature [°C]:,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salinity [‰]:,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisms per chamber:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chamber volume [µL]:,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxygen unit:,milligramPerLiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TREATMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Not set,#ff0e0ebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Blank,#ff000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,#ff4f81bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7.5,#ffc0504d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7.5,#ffc0504d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIBRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wells,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase low [°]:,54.53,54.54,54.51,54.58,54.56,54.48,54.57,54.55,54.53,54.54,54.56,54.62,54.46,54.54,54.56,54.53,54.54,54.59,54.48,54.53,54.54,54.56,54.59,54.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase high [°]:,47.68,47.88,47.87,47.81,47.92,47.87,47.88,47.9,47.86,47.75,47.89,47.82,47.85,47.91,47.8,47.81,47.82,47.89,47.84,47.88,47.87,47.88,47.83,47.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp. low [°C]:,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp. high [°C]:,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treatment ID,5,0,5,4,4,X,4,5,4,5,0,4,5,5,4,4,5,5,4,0,5,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normalization factor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date [DD-MM-YYYY],Time [HH:MM:SS],Time stamp,Relative time [HH:MM:SS],A1 [Phase],A2 [Phase],A3 [Phase],A4 [Phase],A5 [Phase],A6 [Phase],B1 [Phase],B2 [Phase],B3 [Phase],B4 [Phase],B5 [Phase],B6 [Phase],C1 [Phase],C2 [Phase],C3 [Phase],C4 [Phase],C5 [Phase],C6 [Phase],D1 [Phase],D2 [Phase],D3 [Phase],D4 [Phase],D5 [Phase],D6 [Phase],A1 [Amplitude],A2 [Amplitude],A3 [Amplitude],A4 [Amplitude],A5 [Amplitude],A6 [Amplitude],B1 [Amplitude],B2 [Amplitude],B3 [Amplitude],B4 [Amplitude],B5 [Amplitude],B6 [Amplitude],C1 [Amplitude],C2 [Amplitude],C3 [Amplitude],C4 [Amplitude],C5 [Amplitude],C6 [Amplitude],D1 [Amplitude],D2 [Amplitude],D3 [Amplitude],D4 [Amplitude],D5 [Amplitude],D6 [Amplitude],A1 [Oxygen],A2 [Oxygen],A3 [Oxygen],A4 [Oxygen],A5 [Oxygen],A6 [Oxygen],B1 [Oxygen],B2 [Oxygen],B3 [Oxygen],B4 [Oxygen],B5 [Oxygen],B6 [Oxygen],C1 [Oxygen],C2 [Oxygen],C3 [Oxygen],C4 [Oxygen],C5 [Oxygen],C6 [Oxygen],D1 [Oxygen],D2 [Oxygen],D3 [Oxygen],D4 [Oxygen],D5 [Oxygen],D6 [Oxygen]
8/24/2022,1:03:47 PM,1.33058E+17,0:00:00,47.5,47.57,47.51,47.54,47.59,47.54,47.5,47.46,47.56,47.42,47.61,47.43,47.5,47.58,47.43,47.41,47.37,47.57,47.46,47.53,47.57,47.54,47.61,47.58,28838,31302,31802,32660,32723,32803,30317,29663,30725,28302,30798,31485,29310,27615,30533,30353,28817,29212,26521,28642,27337,28003,28657,29286,7.39,7.563,7.628,7.506,7.589,7.591,7.651,7.731,7.549,7.582,7.523,7.657,7.617,7.59,7.634,7.675,7.739,7.573,7.654,7.615,7.549,7.6,7.443,7.561
8/24/2022,1:04:02 PM,1.33058E+17,0:00:15,47.48,47.53,47.5,47.53,47.56,47.53,47.49,47.46,47.57,47.41,47.58,47.4,47.49,47.6,47.42,47.41,47.39,47.55,47.44,47.53,47.57,47.54,47.6,47.56,28798,31228,31753,32575,32647,32828,30308,29626,30742,28299,30732,31479,29292,27662,30621,30327,28792,29285,26546,28696,27446,28023,28656,29336,7.415,7.614,7.641,7.519,7.628,7.604,7.664,7.731,7.536,7.594,7.562,7.695,7.63,7.564,7.647,7.675,7.713,7.599,7.68,7.615,7.549,7.6,7.456,7.587
8/24/2022,1:04:17 PM,1.33058E+17,0:00:30,47.46,47.52,47.5,47.51,47.56,47.52,47.49,47.44,47.54,47.42,47.6,47.41,47.48,47.58,47.42,47.39,47.37,47.54,47.45,47.54,47.57,47.54,47.59,47.53,28543,31114,31595,32509,32618,32859,30030,29439,30623,28192,30767,31572,29126,27544,30658,30394,28885,29344,26526,28677,27354,28103,28715,29465,7.44,7.627,7.641,7.544,7.628,7.617,7.664,7.757,7.575,7.582,7.536,7.682,7.643,7.59,7.647,7.701,7.739,7.612,7.667,7.602,7.549,7.6,7.469,7.626
8/24/2022,1:04:32 PM,1.33058E+17,0:00:45,47.45,47.51,47.48,47.52,47.55,47.51,47.47,47.43,47.54,47.42,47.59,47.39,47.45,47.57,47.4,47.4,47.36,47.54,47.45,47.53,47.55,47.52,47.6,47.53,28103,30524,31232,32209,32340,32635,29675,29095,30260,28044,30531,31436,28818,27292,30331,30189,28782,29301,26217,28476,27250,28090,28736,29528,7.453,7.64,7.667,7.532,7.641,7.63,7.69,7.77,7.575,7.582,7.549,7.708,7.682,7.603,7.672,7.688,7.752,7.612,7.667,7.615,7.575,7.626,7.456,7.626
8/24/2022,1:04:47 PM,1.33058E+17,0:01:00,47.42,47.5,47.48,47.52,47.53,47.48,47.46,47.44,47.53,47.39,47.58,47.38,47.46,47.56,47.4,47.37,47.37,47.52,47.42,47.53,47.54,47.51,47.56,47.51,28766,31247,31745,32663,32726,32833,30313,29697,30765,28291,30724,31274,29505,27697,30548,30213,28666,29000,26582,28768,27410,27975,28367,29013,7.491,7.653,7.667,7.532,7.667,7.669,7.702,7.757,7.588,7.62,7.562,7.721,7.669,7.616,7.672,7.726,7.739,7.637,7.706,7.615,7.588,7.639,7.507,7.652
8/24/2022,1:05:02 PM,1.33058E+17,0:01:15,47.44,47.47,47.48,47.5,47.54,47.49,47.45,47.45,47.52,47.39,47.56,47.38,47.47,47.56,47.39,47.37,47.36,47.52,47.4,47.52,47.55,47.51,47.57,47.52,28826,31286,31827,32645,32700,32763,30526,29787,30804,28302,30689,31416,29508,27708,30505,30199,28746,29160,26606,28670,27327,27903,28443,28943,7.466,7.692,7.667,7.557,7.654,7.656,7.715,7.744,7.601,7.62,7.588,7.721,7.656,7.616,7.685,7.726,7.752,7.637,7.732,7.628,7.575,7.639,7.494,7.639
8/24/2022,1:05:17 PM,1.33058E+17,0:01:30,47.44,47.5,47.48,47.5,47.55,47.48,47.46,47.44,47.53,47.41,47.57,47.37,47.44,47.56,47.4,47.38,47.35,47.51,47.41,47.52,47.54,47.49,47.54,47.49,29262,31678,32071,32863,32763,32813,30614,29844,30892,28310,30769,31345,29512,27685,30562,30277,28665,29005,26572,28632,27223,27973,28412,29020,7.466,7.653,7.667,7.557,7.641,7.669,7.702,7.757,7.588,7.594,7.575,7.733,7.695,7.616,7.672,7.713,7.765,7.65,7.719,7.628,7.588,7.664,7.532,7.677
8/24/2022,1:05:32 PM,1.33058E+17,0:01:45,47.42,47.48,47.46,47.5,47.53,47.51,47.47,47.43,47.52,47.4,47.58,47.4,47.44,47.56,47.39,47.37,47.35,47.53,47.4,47.51,47.53,47.51,47.55,47.48,28976,31513,32031,32917,32961,38664,30223,29662,30753,28288,30795,35762,28923,27331,30189,30053,28562,29057,25994,28108,26890,27569,28289,28811,7.491,7.679,7.693,7.557,7.667,7.63,7.69,7.77,7.601,7.607,7.562,7.695,7.695,7.616,7.685,7.726,7.765,7.625,7.732,7.64,7.601,7.639,7.519,7.69
8/24/2022,1:05:47 PM,1.33058E+17,0:02:00,47.46,47.49,47.48,47.5,47.55,47.5,47.46,47.42,47.52,47.42,47.58,47.41,47.48,47.56,47.38,47.38,47.36,47.53,47.42,47.52,47.53,47.51,47.55,47.51,33054,36156,32255,33410,38671,39183,29981,29421,30900,28480,31101,37272,33823,27143,30074,30110,28739,29191,25580,27570,26468,27293,28131,28861,7.44,7.666,7.667,7.557,7.641,7.643,7.702,7.783,7.601,7.582,7.562,7.682,7.643,7.616,7.698,7.713,7.752,7.625,7.706,7.628,7.601,7.639,7.519,7.652
8/24/2022,1:06:02 PM,1.33058E+17,0:02:15,47.44,47.5,47.48,47.51,47.56,47.51,47.46,47.43,47.52,47.38,47.56,47.39,47.47,47.54,47.38,47.35,47.35,47.52,47.4,47.5,47.55,47.5,47.57,47.49,32666,36040,34247,38680,39164,39773,34616,29441,30940,28809,31540,37691,33248,26879,30114,30292,28986,28908,25143,27066,30984,30863,31221,30841,7.466,7.653,7.667,7.544,7.628,7.63,7.702,7.77,7.601,7.632,7.588,7.708,7.656,7.642,7.698,7.752,7.765,7.637,7.732,7.653,7.575,7.652,7.494,7.677
8/24/2022,1:06:17 PM,1.33058E+17,0:02:30,47.45,47.5,47.48,47.51,47.54,47.5,47.46,47.42,47.5,47.38,47.57,47.39,47.48,47.55,47.41,47.37,47.34,47.54,47.43,47.51,47.55,47.52,47.58,47.52,32997,36363,37602,38728,39033,39648,35049,30065,31402,28999,35826,37666,33709,27584,30687,30623,29179,34647,26070,27750,31416,32397,33813,35176,7.453,7.653,7.667,7.544,7.654,7.643,7.702,7.783,7.626,7.632,7.575,7.708,7.643,7.629,7.66,7.726,7.778,7.612,7.693,7.64,7.575,7.626,7.481,7.639
8/24/2022,1:06:32 PM,1.33058E+17,0:02:45,47.45,47.48,47.48,47.49,47.53,47.5,47.47,47.41,47.49,47.37,47.55,47.38,47.46,47.52,47.38,47.36,47.35,47.54,47.45,47.51,47.56,47.5,47.55,47.54,33142,36391,37483,38557,38858,39206,35180,30215,31413,28871,35933,37346,33982,27728,30786,30566,29064,34507,26337,28008,31434,32316,33817,35153,7.453,7.679,7.667,7.57,7.667,7.643,7.69,7.796,7.639,7.645,7.601,7.721,7.669,7.668,7.698,7.739,7.765,7.612,7.667,7.64,7.562,7.652,7.519,7.613
8/24/2022,1:06:47 PM,1.33058E+17,0:03:00,47.44,47.49,47.46,47.51,47.53,47.48,47.46,47.41,47.5,47.39,47.55,47.38,47.48,47.52,47.37,47.38,47.34,47.54,47.42,47.51,47.56,47.5,47.56,47.52,33230,36423,37361,38436,38651,39064,35251,30201,31481,28874,36478,37218,34016,27788,30805,30581,28935,34413,26570,28159,31475,32313,33766,35279,7.466,7.666,7.693,7.544,7.667,7.669,7.702,7.796,7.626,7.62,7.601,7.721,7.643,7.668,7.711,7.713,7.778,7.612,7.706,7.64,7.562,7.652,7.507,7.639
8/24/2022,1:07:02 PM,1.33058E+17,0:03:15,47.45,47.51,47.49,47.51,47.54,47.49,47.48,47.42,47.5,47.37,47.56,47.4,47.48,47.55,47.39,47.37,47.35,47.54,47.42,47.52,47.56,47.52,47.55,47.54,33270,36392,37424,38464,38659,39007,35273,30237,31450,28829,36469,37252,34097,27844,30826,30626,28929,34398,26555,28188,31503,32353,33724,35466,7.453,7.64,7.654,7.544,7.654,7.656,7.677,7.783,7.626,7.645,7.588,7.695,7.643,7.629,7.685,7.726,7.765,7.612,7.706,7.628,7.562,7.626,7.519,7.613
8/24/2022,1:07:17 PM,1.33058E+17,0:03:30,47.46,47.5,47.48,47.52,47.54,47.5,47.49,47.41,47.51,47.38,47.56,47.4,47.48,47.52,47.38,47.34,47.34,47.54,47.45,47.53,47.56,47.51,47.56,47.54,33391,36615,37455,38413,38441,38786,35565,30351,31453,28795,36512,37074,34412,28024,30928,30579,28831,34332,26814,28311,31609,32491,33476,35920,7.44,7.653,7.667,7.532,7.654,7.643,7.664,7.796,7.614,7.632,7.588,7.695,7.643,7.668,7.698,7.765,7.778,7.612,7.667,7.615,7.562,7.639,7.507,7.613
8/24/2022,1:07:32 PM,1.33058E+17,0:03:45,47.45,47.48,47.46,47.51,47.52,47.49,47.46,47.4,47.48,47.36,47.53,47.38,47.48,47.51,47.37,47.34,47.32,47.54,47.44,47.55,47.56,47.51,47.55,47.52,33389,36575,37457,38413,38534,38919,35511,30226,31330,28692,36568,37147,34333,27887,30865,30505,28817,34350,26765,28284,31572,32439,33491,35973,7.453,7.679,7.693,7.544,7.68,7.656,7.702,7.809,7.652,7.658,7.626,7.721,7.643,7.681,7.711,7.765,7.804,7.612,7.68,7.589,7.562,7.639,7.519,7.639
8/24/2022,1:07:47 PM,1.33058E+17,0:04:00,47.45,47.49,47.48,47.5,47.53,47.49,47.48,47.39,47.47,47.35,47.56,47.39,47.48,47.52,47.38,47.35,47.31,47.54,47.45,47.51,47.58,47.51,47.56,47.52,33284,36522,37506,38469,38679,39041,35376,30160,31276,28789,36727,37226,34183,27842,30806,30559,28839,34404,26551,28093,31499,32364,33405,35970,7.453,7.666,7.667,7.557,7.667,7.656,7.677,7.822,7.665,7.67,7.588,7.708,7.643,7.668,7.698,7.752,7.816,7.612,7.667,7.64,7.536,7.639,7.507,7.639
8/24/2022,1:08:02 PM,1.33058E+17,0:04:15,47.45,47.49,47.49,47.51,47.52,47.49,47.5,47.4,47.47,47.36,47.54,47.4,47.49,47.52,47.37,47.35,47.32,47.53,47.44,47.52,47.55,47.5,47.55,47.51,33303,36459,37461,38515,38645,39052,35373,30178,31177,28724,36616,37204,34158,27842,30793,30548,28822,34383,26539,28094,31531,32401,33418,35915,7.453,7.666,7.654,7.544,7.68,7.656,7.651,7.809,7.665,7.658,7.613,7.695,7.63,7.668,7.711,7.752,7.804,7.625,7.68,7.628,7.575,7.652,7.519,7.652
8/24/2022,1:08:17 PM,1.33058E+17,0:04:30,47.46,47.48,47.48,47.5,47.53,47.49,47.47,47.38,47.47,47.35,47.56,47.38,47.49,47.53,47.37,47.33,47.32,47.54,47.45,47.52,47.56,47.48,47.56,47.53,33270,36499,37500,38503,38693,39027,35415,30135,31268,28780,36659,37235,34159,27843,30790,30515,28808,34424,26560,28056,31609,32482,33400,35903,7.44,7.679,7.667,7.557,7.667,7.656,7.69,7.835,7.665,7.67,7.588,7.721,7.63,7.655,7.711,7.778,7.804,7.612,7.667,7.628,7.562,7.677,7.507,7.626
8/24/2022,1:08:32 PM,1.33058E+17,0:04:45,47.44,47.48,47.48,47.48,47.52,47.47,47.47,47.38,47.47,47.36,47.53,47.36,47.48,47.52,47.37,47.33,47.31,47.51,47.42,47.53,47.55,47.5,47.53,47.51,33312,36556,37446,38532,38659,39058,35375,30132,31231,28712,36707,37204,34173,27751,30797,30510,28868,34368,26621,28087,31612,32416,33475,35881,7.466,7.679,7.667,7.583,7.68,7.682,7.69,7.835,7.665,7.658,7.626,7.746,7.643,7.668,7.711,7.778,7.816,7.65,7.706,7.615,7.575,7.652,7.545,7.652
8/24/2022,1:08:47 PM,1.33058E+17,0:05:00,47.45,47.49,47.48,47.5,47.53,47.49,47.48,47.39,47.48,47.35,47.53,47.39,47.47,47.53,47.36,47.34,47.31,47.53,47.45,47.52,47.57,47.51,47.55,47.52,33321,36533,37517,38540,38721,39072,35378,30110,31279,28746,36667,37187,34211,27748,30778,30522,28790,34426,26545,28074,31549,32324,33510,35859,7.453,7.666,7.667,7.557,7.667,7.656,7.677,7.822,7.652,7.67,7.626,7.708,7.656,7.655,7.723,7.765,7.816,7.625,7.667,7.628,7.549,7.639,7.519,7.639
8/24/2022,1:09:02 PM,1.33058E+17,0:05:15,47.46,47.48,47.49,47.49,47.52,47.48,47.47,47.37,47.47,47.34,47.54,47.39,47.48,47.52,47.36,47.33,47.31,47.52,47.43,47.53,47.57,47.5,47.55,47.52,33338,36538,37497,38478,38693,38993,35404,30081,31206,28687,36648,37147,34167,27716,30779,30515,28779,34394,26547,27991,31547,32321,33408,35770,7.44,7.679,7.654,7.57,7.68,7.669,7.69,7.848,7.665,7.683,7.613,7.708,7.643,7.668,7.723,7.778,7.816,7.637,7.693,7.615,7.549,7.652,7.519,7.639
8/24/2022,1:09:17 PM,1.33058E+17,0:05:30,47.46,47.49,47.47,47.5,47.53,47.48,47.49,47.4,47.45,47.36,47.53,47.38,47.48,47.51,47.36,47.34,47.31,47.52,47.44,47.51,47.56,47.5,47.56,47.52,33343,36490,37460,38487,38693,39001,35359,30061,31157,28690,36625,37201,34181,27693,30809,30447,28722,34391,26562,27998,31525,32361,33425,35798,7.44,7.666,7.68,7.557,7.667,7.669,7.664,7.809,7.691,7.658,7.626,7.721,7.643,7.681,7.723,7.765,7.816,7.637,7.68,7.64,7.562,7.652,7.507,7.639
8/24/2022,1:09:32 PM,1.33058E+17,0:05:45,47.46,47.49,47.47,47.5,47.53,47.48,47.47,47.39,47.46,47.33,47.52,47.37,47.48,47.5,47.37,47.32,47.3,47.54,47.43,47.53,47.56,47.5,47.56,47.53,33335,36496,37514,38518,38653,39024,35389,30056,31169,28686,36599,37204,34160,27706,30793,30506,28755,34344,26584,28008,31514,32403,33425,35814,7.44,7.666,7.68,7.557,7.667,7.669,7.69,7.822,7.678,7.696,7.639,7.733,7.643,7.694,7.711,7.791,7.829,7.612,7.693,7.615,7.562,7.652,7.507,7.626
8/24/2022,1:09:47 PM,1.33058E+17,0:06:00,47.45,47.49,47.48,47.49,47.5,47.48,47.46,47.38,47.46,47.35,47.52,47.38,47.49,47.5,47.36,47.32,47.28,47.53,47.43,47.53,47.55,47.49,47.56,47.51,33338,36499,37500,38509,38659,39012,35438,30050,31166,28718,36647,37221,34219,27687,30747,30589,28706,34395,26567,28063,31548,32400,33397,35833,7.453,7.666,7.667,7.57,7.706,7.669,7.702,7.835,7.678,7.67,7.639,7.721,7.63,7.694,7.723,7.791,7.855,7.625,7.693,7.615,7.575,7.664,7.507,7.652
8/24/2022,1:10:02 PM,1.33058E+17,0:06:15,47.48,47.49,47.49,47.5,47.54,47.5,47.5,47.38,47.47,47.34,47.54,47.41,47.5,47.53,47.37,47.35,47.31,47.55,47.44,47.53,47.58,47.5,47.55,47.52,33335,36456,37517,38537,38665,39038,35401,30016,31228,28695,36681,37173,34212,27645,30789,30453,28690,34358,26516,28002,31572,32408,33441,35849,7.415,7.666,7.654,7.557,7.654,7.643,7.651,7.835,7.665,7.683,7.613,7.682,7.617,7.655,7.711,7.752,7.816,7.599,7.68,7.615,7.536,7.652,7.519,7.639
8/24/2022,1:10:17 PM,1.33058E+17,0:06:30,47.46,47.49,47.47,47.52,47.52,47.49,47.49,47.39,47.47,47.34,47.54,47.39,47.5,47.52,47.38,47.33,47.3,47.52,47.46,47.51,47.57,47.49,47.56,47.54,33306,36573,37520,38543,38721,39058,35370,30064,31163,28735,36707,37178,34276,27728,30782,30472,28727,34390,26566,28055,31532,32431,33359,35708,7.44,7.666,7.68,7.532,7.68,7.656,7.664,7.822,7.665,7.683,7.613,7.708,7.617,7.668,7.698,7.778,7.829,7.637,7.654,7.64,7.549,7.664,7.507,7.613
8/24/2022,1:10:32 PM,1.33058E+17,0:06:45,47.44,47.48,47.48,47.49,47.51,47.47,47.49,47.38,47.46,47.34,47.53,47.38,47.5,47.5,47.35,47.34,47.29,47.54,47.43,47.51,47.55,47.49,47.54,47.52,33320,36606,37568,38512,38699,38992,35381,30112,31211,28709,36727,37209,34179,27713,30821,30478,28701,34407,26590,27993,31599,32431,33395,35858,7.466,7.679,7.667,7.57,7.693,7.682,7.664,7.835,7.678,7.683,7.626,7.721,7.617,7.694,7.736,7.765,7.842,7.612,7.693,7.64,7.575,7.664,7.532,7.639
8/24/2022,1:10:47 PM,1.33058E+17,0:07:00,47.44,47.49,47.47,47.48,47.51,47.48,47.47,47.38,47.45,47.34,47.51,47.37,47.48,47.52,47.36,47.33,47.31,47.52,47.43,47.51,47.55,47.48,47.54,47.51,33315,36598,37574,38577,38696,39097,35483,30073,31185,28763,36721,37308,34306,27748,30798,30532,28767,34517,26615,28056,31639,32480,33498,35826,7.466,7.666,7.68,7.583,7.693,7.669,7.69,7.835,7.691,7.683,7.652,7.733,7.643,7.668,7.723,7.778,7.816,7.637,7.693,7.64,7.575,7.677,7.532,7.652
