Chamber_ID,Chamber_type,Chamber_volume,Instrument
1,x_small,23.1,loligo_8channel
2,x_small,23.05,loligo_8channel
3,x_small,23.31,loligo_8channel
4,x_small,22.55,loligo_8channel
5,x_small,23.18,loligo_8channel
6,x_small,23.24,loligo_8channel
7,x_small,22.63,loligo_8channel
8,x_small,22.95,loligo_8channel
1,small,68.55,loligo_8channel
2,small,68.856,loligo_8channel
3,small,68.644,loligo_8channel
4,small,68.955,loligo_8channel
5,small,68.573,loligo_8channel
6,small,68.019,loligo_8channel
7,small,68.546,loligo_8channel
8,small,68.533,loligo_8channel
1,medium,196.6,loligo_8channel
2,medium,200.6,loligo_8channel
3,medium,201.4,loligo_8channel
4,medium,200,loligo_8channel
5,medium,199.2,loligo_8channel
6,medium,200.4,loligo_8channel
7,medium,201.3,loligo_8channel
8,medium,201.7,loligo_8channel
1,large,254.7,loligo_8channel
2,large,257.88,loligo_8channel
3,large,246.63,loligo_8channel
4,large,252.35,loligo_8channel
5,large,242.31,loligo_8channel
6,large,247.07,loligo_8channel
7,large,241.11,loligo_8channel
8,large,243.59,loligo_8channel
