Date_sampled,pH,Tank_Replicate,pH_Replicate,Shell_length_mm,Shell_Tin_ID,Shell_Tin_Weight_g,Dry_Shell_Tin_Weight_g,Dry_Shell_weight_g,Tissue_Tin_ID,Tissue_Tin_Weight_g,Dry_Tissue_Tin_Weight_g,Dry_Tissue_weight_g,Gonad_Tin_ID,Gonad_stage,Gonad_Tin_Weight_g,Dry_Gonad_Tin_Weight_g,Dry_Gonad_weight_g,Gonad_Index_Gonad:Soma,Whole_animal_dry_weight_g,Condition_index_drywtRatio_Walne1976,Shell_ash_weight_g_with_tin,Tissue_ash_weight_with_g_tin,Gonad_ash_weight_g_with_tin,Total_ash_weight_g_with_tin,TotalAFDW_g,Condition_index_TotalADFW_div_length,notes
11/16/2022,7.5,A,7.5_A,14.4,1,0.3977,0.5993,0.2016,1,0.4005,0.4223,0.0218,NA,NA,NA,NA,NA,NA,0.2234,2.094742063,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7.5,A,7.5_A,15.3,2,0.4027,0.6526,0.2499,2,0.3934,0.4206,0.0272,NA,NA,NA,NA,NA,NA,0.2771,1.683073229,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7.5,B,7.5_B,16,3,0.3969,0.6943,0.2974,3,0.4059,0.4355,0.0296,NA,NA,NA,NA,NA,NA,0.327,1.464357767,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7.5,B,7.5_B,15.5,4,0.4076,0.6589,0.2513,4,0.4039,0.427,0.0231,NA,NA,NA,NA,NA,NA,0.2744,1.699164345,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7.5,C,7.5_C,16.4,5,0.4031,0.7196,0.3165,5,0.3981,0.4334,0.0353,NA,NA,NA,NA,NA,NA,0.3518,1.369352291,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7.5,C,7.5_C,13.9,6,0.3969,0.5939,0.197,6,0.4002,0.4208,0.0206,NA,NA,NA,NA,NA,NA,0.2176,2.136040609,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7.5,D,7.5_D,15.1,7,0.4115,0.6517,0.2402,7,0.4008,0.4252,0.0244,NA,NA,NA,NA,NA,NA,0.2646,1.770191507,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,8,A,8_A,16.3,8,0.4065,0.7373,0.3308,8,0.3988,0.4316,0.0328,NA,NA,NA,NA,NA,NA,0.3636,1.30471584,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,8,A,8_A,15.9,9,0.4016,0.6921,0.2905,9,0.3882,0.4147,0.0265,NA,NA,NA,NA,NA,NA,0.317,1.427538726,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,8,B,8_B,15.3,10,0.4049,0.6803,0.2754,10,0.3931,0.4197,0.0266,NA,NA,NA,NA,NA,NA,0.302,1.523965142,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,8,B,8_B,13.1,11,0.4035,0.575,0.1715,11,0.3884,0.4075,0.0191,NA,NA,NA,NA,NA,NA,0.1906,2.376093294,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,8,C,8_C,16,12,0.4042,0.6811,0.2769,12,0.3904,0.4186,0.0282,NA,NA,NA,NA,NA,NA,0.3051,1.511737089,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,8,C,8_C,16.1,13,0.4049,0.6703,0.2654,13,0.4042,0.4317,0.0275,NA,NA,NA,NA,NA,NA,0.2929,1.626601356,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,8,D,8_D,14.8,14,0.3988,0.6109,0.2121,14,0.404,0.4276,0.0236,NA,NA,NA,NA,NA,NA,0.2357,2.016030174,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7,A,7_A,14.5,15,0.3988,0.6429,0.2441,15,0.4002,0.4184,0.0182,NA,NA,NA,NA,NA,NA,0.2623,1.714051618,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7,A,7_A,14.9,16,0.403,0.6707,0.2677,16,0.3924,0.4202,0.0278,NA,NA,NA,NA,NA,NA,0.2955,1.569667538,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7,B,7_B,16.6,17,0.4072,0.6706,0.2634,17,0.3966,0.4297,0.0331,NA,NA,NA,NA,NA,NA,0.2965,1.63135915,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7,B,7_B,15.5,18,0.3942,0.6609,0.2667,18,0.4057,0.4279,0.0222,NA,NA,NA,NA,NA,NA,0.2889,1.604424447,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7,C,7_C,15.6,19,0.4045,0.6074,0.2029,19,0.4081,0.4311,0.023,NA,NA,NA,NA,NA,NA,0.2259,2.124691966,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7,C,7_C,14.4,20,0.403,0.6006,0.1976,20,0.4032,0.4262,0.023,NA,NA,NA,NA,NA,NA,0.2206,2.156882591,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
11/16/2022,7,D,7_D,15.8,21,0.4039,0.6566,0.2527,21,0.4054,0.4321,0.0267,NA,NA,NA,NA,NA,NA,0.2794,1.709932727,<add here>,<add here>,<add here>,<add here>,<add here>,<add here>,used for respiration and excretion
,,,,,22,0.4059,,,22,0.4041,,,,,,,,,,,,,,,,,
,,,,,23,0.4103,,,23,0.4019,,,,,,,,,,,,,,,,,
,,,,,24,0.3899,,,24,0.4048,,,,,,,,,,,,,,,,,
,,,,,25,0.4035,,,25,0.4038,,,,,,,,,,,,,,,,,
,,,,,26,0.4085,,,26,0.3961,,,,,,,,,,,,,,,,,
,,,,,27,0.3988,,,27,0.4029,,,,,,,,,,,,,,,,,
,,,,,28,0.4026,,,28,0.4024,,,,,,,,,,,,,,,,,
,,,,,29,0.4105,,,29,0.3978,,,,,,,,,,,,,,,,,
,,,,,30,0.4109,,,30,0.3901,,,,,,,,,,,,,,,,,
,,,,,31,0.4032,,,31,0.4044,,,,,,,,,,,,,,,,,
,,,,,32,0.4044,,,32,0.4025,,,,,,,,,,,,,,,,,
,,,,,33,0.4056,,,33,0.4065,,,,,,,,,,,,,,,,,
,,,,,34,0.3999,,,34,0.402,,,,,,,,,,,,,,,,,
,,,,,35,0.4048,,,35,0.4037,,,,,,,,,,,,,,,,,
,,,,,36,0.404,,,36,0.4048,,,,,,,,,,,,,,,,,
,,,,,37,0.3976,,,37,0.4021,,,,,,,,,,,,,,,,,
,,,,,38,0.4049,,,38,0.4013,,,,,,,,,,,,,,,,,
,,,,,39,0.397,,,39,0.403,,,,,,,,,,,,,,,,,
,,,,,40,0.4062,,,40,0.4015,,,,,,,,,,,,,,,,,
,,,,,41,0.4015,,,41,0.4039,,,,,,,,,,,,,,,,,
