Date,Age,Treatment,Rep,Count_corrected,Survival
10/5/2022,50,Low,A,107,1
10/5/2022,50,Low,B,108,1
10/5/2022,50,Low,C,119,1
10/5/2022,50,Low,D,115,1
10/5/2022,50,Moderate,A,114,1
10/5/2022,50,Moderate,B,95,1
10/5/2022,50,Moderate,C,106,1
10/5/2022,50,Moderate,D,113,1
10/5/2022,50,High,A,109,1
10/5/2022,50,High,B,147,1
10/5/2022,50,High,C,118,1
10/5/2022,50,High,D,116,1
10/26/2022,71,Low,A,107,1
10/26/2022,71,Low,B,108,1
10/26/2022,71,Low,C,113,0.949579832
10/26/2022,71,Low,D,114,0.991304348
10/26/2022,71,Moderate,A,114,1
10/26/2022,71,Moderate,B,95,1
10/26/2022,71,Moderate,C,106,1
10/26/2022,71,Moderate,D,110,0.973451327
10/26/2022,71,High,A,109,1
10/26/2022,71,High,B,147,1
10/26/2022,71,High,C,117,0.991525424
10/26/2022,71,High,D,116,1
11/14/2022,90,Low,A,105,0.981308411
11/14/2022,90,Low,B,104,0.962962963
11/14/2022,90,Low,C,111,0.932773109
11/14/2022,90,Low,D,109,0.947826087
11/14/2022,90,Moderate,A,114,1
11/14/2022,90,Moderate,B,95,1
11/14/2022,90,Moderate,C,106,1
11/14/2022,90,Moderate,D,108,0.955752212
11/14/2022,90,High,A,105,0.963302752
11/14/2022,90,High,B,143,0.972789116
11/14/2022,90,High,C,106,0.898305085
11/14/2022,90,High,D,114,0.982758621
12/5/2022,111,Low,A,96,0.897196262
12/5/2022,111,Low,B,84,0.777777778
12/5/2022,111,Low,C,94,0.789915966
12/5/2022,111,Low,D,92,0.8
12/5/2022,111,Moderate,A,101,0.885964912
12/5/2022,111,Moderate,B,86,0.905263158
12/5/2022,111,Moderate,C,102,0.962264151
12/5/2022,111,Moderate,D,99,0.876106195
12/5/2022,111,High,A,99,0.908256881
12/5/2022,111,High,B,131,0.891156463
12/5/2022,111,High,C,93,0.788135593
12/5/2022,111,High,D,104,0.896551724
1/27/2023,164,Low,A,96,0.897196262
1/27/2023,164,Low,B,82,0.759259259
1/27/2023,164,Low,C,94,0.789915966
1/27/2023,164,Low,D,91,0.791304348
1/27/2023,164,Moderate,A,101,0.885964912
1/27/2023,164,Moderate,B,82,0.863157895
1/27/2023,164,Moderate,C,101,0.952830189
1/27/2023,164,Moderate,D,93,0.82300885
1/27/2023,164,High,A,99,0.908256881
1/27/2023,164,High,B,129,0.87755102
1/27/2023,164,High,C,93,0.788135593
1/27/2023,164,High,D,102,0.879310345
2/2/2023,164,Low,A,96,0.897196262
2/2/2023,164,Low,B,82,0.759259259
2/2/2023,164,Low,C,94,0.789915966
2/2/2023,164,Low,D,91,0.791304348
2/2/2023,164,Low,E,,
2/2/2023,164,Low,F,,
2/2/2023,164,Low,G,,
2/2/2023,164,Moderate,A,101,0.885964912
2/2/2023,164,Moderate,B,82,0.863157895
2/2/2023,164,Moderate,C,101,0.952830189
2/2/2023,164,Moderate,D,93,0.82300885
2/2/2023,164,Moderate,E,,
2/2/2023,164,Moderate,F,,
2/2/2023,164,Moderate,G,,
2/2/2023,164,High,A,99,0.908256881
2/2/2023,164,High,B,129,0.87755102
2/2/2023,164,High,C,93,0.788135593
2/2/2023,164,High,D,102,0.879310345
2/2/2023,164,High,E,,
2/2/2023,164,High,F,,
2/2/2023,164,High,G,,
2/27/2023,195,Low,A,90,0.841121495
2/27/2023,195,Low,B,76,0.703703704
2/27/2023,195,Low,C,87,0.731092437
2/27/2023,195,Low,D,87,0.756521739
2/27/2023,195,Low,E,,
2/27/2023,195,Low,F,,
2/27/2023,195,Low,G,,
2/27/2023,195,Moderate,A,98,0.859649123
2/27/2023,195,Moderate,B,72,0.757894737
2/27/2023,195,Moderate,C,98,0.924528302
2/27/2023,195,Moderate,D,93,0.82300885
2/27/2023,195,Moderate,E,,
2/27/2023,195,Moderate,F,,
2/27/2023,195,Moderate,G,,
2/27/2023,195,High,A,99,0.908256881
2/27/2023,195,High,B,129,0.87755102
2/27/2023,195,High,C,90,0.762711864
2/27/2023,195,High,D,99,0.853448276
2/27/2023,195,High,E,,
2/27/2023,195,High,F,,
2/27/2023,195,High,G,,
