Date_sampled,pH,Tank_Replicate,n,Shell_length_mm,tin_ID,Tin_Weight_mg,shell_or_tissue,Dry_Sample_Tin_Weight_mg,Dry_Sample_Weight_mg,CI,Notes
10/26/2021,8,A,3,13.28,,0.4072,tissue,0.4191,0.0119,7.803278689,extras for CI and regressions
10/26/2021,8,A,3,13.28,,0.4112,shell,0.5637,0.1525,NA,extras for CI and regressions
10/26/2021,8,A,4,9.47,,0.4114,tissue,0.4166,0.0052,8.566721582,extras for CI and regressions
10/26/2021,8,A,4,9.47,,0.4139,shell,0.4746,0.0607,NA,extras for CI and regressions
10/26/2021,8,A,5,13.01,,0.4106,tissue,0.4209,0.0103,7.137907138,extras for CI and regressions
10/26/2021,8,A,5,13.01,,0.41,shell,0.5543,0.1443,NA,extras for CI and regressions
10/26/2021,8,A,6,9.85,,0.4075,tissue,0.4136,0.0061,8.983799705,extras for CI and regressions
10/26/2021,8,A,6,9.85,,0.416,shell,0.4839,0.0679,NA,extras for CI and regressions
10/26/2021,8,A,7,12.64,,0.4115,tissue,0.4242,0.0127,10.57452123,extras for CI and regressions
10/26/2021,8,A,7,12.64,,0.4125,shell,0.5326,0.1201,NA,extras for CI and regressions
10/26/2021,8,A,8,11.76,,0.407,tissue,0.4173,0.0103,9.662288931,extras for CI and regressions
10/26/2021,8,A,8,11.76,,0.4094,shell,0.516,0.1066,NA,extras for CI and regressions
10/26/2021,8,A,9,7.45,,0.4086,tissue,0.4111,0.0025,9.578544061,extras for CI and regressions
10/26/2021,8,A,9,7.45,,0.411,shell,0.4371,0.0261,NA,extras for CI and regressions
10/26/2021,8,A,10,6.92,,0.4089,tissue,0.4113,0.0024,9.375,extras for CI and regressions
10/26/2021,8,A,10,6.92,,0.4082,shell,0.4338,0.0256,NA,extras for CI and regressions
10/26/2021,8,A,11,9.99,6A1,0.4162,tissue,0.4227,0.0065,9.558823529,extras for CI and regressions
10/26/2021,8,A,11,9.99,6A2,0.4188,shell,0.4868,0.068,NA,extras for CI and regressions
10/26/2021,8,A,12,7.19,6A3,0.4155,tissue,0.41779,0.00229,9.196787149,extras for CI and regressions
10/26/2021,8,A,12,7.19,6A4,0.4233,shell,0.4482,0.0249,NA,extras for CI and regressions
10/26/2021,8,A,13,4.39,6A5,0.4076,tissue,0.4081,0.0005,9.259259259,extras for CI and regressions
10/26/2021,8,A,13,4.39,6A6,0.4161,shell,0.4215,0.0054,NA,extras for CI and regressions
10/26/2021,8,B,3,13.21,6A7,0.41,tissue,0.4257,0.0157,10.34255599,extras for CI and regressions
10/26/2021,8,B,3,13.21,6A8,0.4113,shell,0.5631,0.1518,NA,extras for CI and regressions
10/26/2021,8,B,4,9.19,6A9,0.4102,tissue,0.4142,0.004,9.049773756,extras for CI and regressions
10/26/2021,8,B,4,9.19,6A10,0.4126,shell,0.4568,0.0442,NA,extras for CI and regressions
10/26/2021,8,B,5,8.56,6A11,0.4162,tissue,0.4212,0.005,10.54852321,extras for CI and regressions
10/26/2021,8,B,5,8.56,6A12,0.4104,shell,0.4578,0.0474,NA,extras for CI and regressions
10/26/2021,8,B,6,5.86,6B3,0.4151,tissue,0.4159,0.0008,6.896551724,extras for CI and regressions
10/26/2021,8,B,6,5.86,6B4,0.4129,shell,0.4245,0.0116,NA,extras for CI and regressions
10/26/2021,8,B,7,5.77,6B5,0.4114,tissue,0.4121,0.0007,6.034482759,extras for CI and regressions
10/26/2021,8,B,7,5.77,6B6,0.4123,shell,0.4239,0.0116,NA,extras for CI and regressions
10/26/2021,8,B,8,6.04,6B7,0.4101,tissue,0.4113,0.0012,18.75,extras for CI and regressions
10/26/2021,8,B,8,6.04,6B8,0.4171,shell,0.4235,0.0064,NA,extras for CI and regressions
10/26/2021,8,B,9,11.08,6B9,0.419,tissue,0.4276,0.0086,9.378407852,extras for CI and regressions
10/26/2021,8,B,9,11.08,6B10,0.4195,shell,0.5112,0.0917,NA,extras for CI and regressions
10/26/2021,8,B,10,5.73,6B11,0.4188,tissue,0.4203,0.0015,12.29508197,extras for CI and regressions
10/26/2021,8,B,10,5.73,6B12,0.4163,shell,0.4285,0.0122,NA,extras for CI and regressions
10/26/2021,8,B,11,8.68,6C1,0.414,tissue,0.4179,0.0039,10.15625,extras for CI and regressions
10/26/2021,8,B,11,8.68,6C2,0.4137,shell,0.4521,0.0384,NA,extras for CI and regressions
10/26/2021,8,B,12,12.5,6B1,0.4186,tissue,0.433,0.0144,11.15414407,extras for CI and regressions
10/26/2021,8,B,12,12.5,6B2,0.4107,shell,0.5398,0.1291,NA,extras for CI and regressions
10/26/2021,8,C,1,14.7,6C3,0.414,tissue,0.4337,0.0197,11.53395785,extras for CI and regressions
10/26/2021,8,C,1,14.7,6C4,0.4114,shell,0.5822,0.1708,NA,extras for CI and regressions
10/26/2021,8,C,2,13.42,6C5,0.4156,tissue,0.4331,0.0175,10.18033741,extras for CI and regressions
10/26/2021,8,C,2,13.42,6C6,0.4089,shell,0.5808,0.1719,NA,extras for CI and regressions
10/26/2021,8,C,3,11.69,6C7,0.4187,tissue,0.4301,0.0114,10.59479554,extras for CI and regressions
10/26/2021,8,C,3,11.69,6C8,0.4153,shell,0.5229,0.1076,NA,extras for CI and regressions
10/26/2021,8,C,4,4.59,6C9,0.4158,tissue,0.4165,0.0007,10.29411765,extras for CI and regressions
10/26/2021,8,C,4,4.59,6C10,0.4156,shell,0.4224,0.0068,NA,extras for CI and regressions
10/26/2021,8,C,5,6.75,6C11,0.4153,tissue,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,C,5,6.75,6C12,0.4143,shell,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,C,6,6.5,5A1,0.4102,tissue,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,C,6,6.5,5A2,0.4175,shell,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,C,7,11.55,5A3,0.4187,tissue,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,C,7,11.55,5A4,0.4165,shell,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,C,8,11.22,5A5,0.413,tissue,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,C,8,11.22,5A6,0.41,shell,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,C,9,7.77,5A7,0.4139,tissue,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,C,9,7.77,5A8,0.4151,shell,NA,NA,NA,flipped the tray and lost these samples
10/26/2021,8,D,1,11.66,5C7,0.4174,tissue,0.4293,0.0119,11.44230769,extras for CI and regressions
10/26/2021,8,D,1,11.66,5C8,0.42,shell,0.524,0.104,NA,extras for CI and regressions
10/26/2021,8,D,2,11.75,5C9,0.4159,tissue,0.4281,0.0122,11.2962963,extras for CI and regressions
10/26/2021,8,D,2,11.75,5C10,0.4192,shell,0.5272,0.108,NA,extras for CI and regressions
10/26/2021,8,D,3,8.84,5C11,0.4217,tissue,0.4259,0.0042,9.722222222,extras for CI and regressions
10/26/2021,8,D,3,8.84,5C12,0.418,shell,0.4612,0.0432,NA,extras for CI and regressions
10/26/2021,8,D,4,8.05,5B1,0.4078,tissue,0.4113,0.0035,9.186351706,extras for CI and regressions
10/26/2021,8,D,4,8.05,5B2,0.4126,shell,0.4507,0.0381,NA,extras for CI and regressions
10/26/2021,8,D,5,7.76,5B3,0.4157,tissue,0.416,0.0003,NA,no tissue? 
10/26/2021,8,D,5,7.76,5B4,0.4107,shell,0.4404,0.0297,NA,no tissue? 
10/26/2021,8,D,6,7.75,5A9,0.4129,tissue,0.4159,0.003,10.06711409,extras for CI and regressions
10/26/2021,8,D,6,7.75,5A10,0.4147,shell,0.4445,0.0298,NA,extras for CI and regressions
10/26/2021,8,D,7,7.02,5A11,0.4154,tissue,0.4175,0.0021,9.090909091,extras for CI and regressions
10/26/2021,8,D,7,7.02,5A12,0.4135,shell,0.4366,0.0231,NA,extras for CI and regressions
10/26/2021,8,D,8,7.13,5C1,0.4113,tissue,0.4134,0.0021,9.090909091,extras for CI and regressions
10/26/2021,8,D,8,7.13,5C2,0.4116,shell,0.4347,0.0231,NA,extras for CI and regressions
10/26/2021,8,D,9,7.52,5C3,0.4214,tissue,0.422,0.0006,6.451612903,extras for CI and regressions
10/26/2021,8,D,9,7.52,5C4,0.4187,shell,0.428,0.0093,NA,extras for CI and regressions
